delta1,alpha3,kappa,B0,alpha1,alpha2,grid_shape,t_end,dt,scheme,bc,P_max,P_max_time,P_final,wall_time_s,run_status,error_message,solver_exit_code,C0,A,log10_A,P_valid
-0.6551724137931034,2.894736842105263,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429718285e-11,44.5,3.304260458579004e-11,1.27,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,3.1578947368421053,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429717967e-11,44.5,3.30426045856461e-11,1.33,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,3.4210526315789473,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429729177e-11,44.5,3.3042604585798706e-11,1.26,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,3.6842105263157894,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429716057e-11,44.5,3.3042604585621476e-11,1.52,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,3.9473684210526314,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429705696e-11,44.5,3.304260458561445e-11,1.39,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,4.2105263157894735,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429727013e-11,44.5,3.3042604585768513e-11,1.33,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,4.473684210526316,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429705118e-11,44.5,3.3042604585482206e-11,2.02,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,4.7368421052631575,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429708925e-11,44.5,3.30426045857403e-11,1.27,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,5.0,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429724048e-11,44.5,3.304260458573079e-11,1.25,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.5862068965517242,0.0,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.510547278918617e-10,46.0,1.0633929263394558e-10,1.69,success,,0,2.5105e-02,4.016884e-05,-4.3961,true
