sample_index,alpha1,alpha2,alpha3,delta1,v1_max_excess,v2_max_excess,v1_verdict,v2_verdict,sim_verdict
97,-0.170446219615607,-0.690539036270149,1.13705456494438,-0.714538270018882,2.036583e-01,0.000000e+00,stable,stable,not_audited
98,-0.0660747730249351,-0.501696052329694,0.810489588074232,0.893890458150151,2.036592e-01,0.000000e+00,stable,stable,not_audited
99,-0.136588911809987,0.88022709117238,0.10243332881548,-0.944456429350563,2.036020e-01,0.000000e+00,stable,stable,not_audited
100,-0.194645068284157,1.14368017400453,0.7642951924425,1.3442811619719,2.036602e-01,0.000000e+00,stable,stable,not_audited
101,-0.0531718887014383,1.0152419602012,0.488872428814764,-1.38733083192405,2.036606e-01,0.000000e+00,stable,stable,not_audited
102,0.628861299926976,1.44223391292145,0.240243386382824,-1.79645442902047,2.036608e-01,0.000000e+00,stable,stable,not_audited
103,0.069589571522134,-0.466779484262812,0.571616177970374,1.02136094533637,2.036622e-01,0.000000e+00,stable,stable,not_audited
104,0.812705653756844,1.98675263248103,0.412081454002981,-1.98453427231191,2.036624e-01,0.000000e+00,stable,stable,not_audited
105,0.312209936574958,0.639227219081624,0.257829401521668,-1.494759683057,2.036635e-01,0.000000e+00,stable,stable,not_audited
106,0.868432017423545,-0.190187235440092,0.112618511518666,-1.56604684848058,2.036640e-01,0.000000e+00,stable,stable,not_audited
107,-0.209643170619231,-0.454006450525744,0.0770223086269149,-0.570811779479965,2.036008e-01,0.000000e+00,stable,stable,not_audited
108,0.789362657859837,-0.146293954194986,0.116760170394802,-1.54272283107575,2.036646e-01,0.000000e+00,stable,stable,not_audited
109,-0.887813769497057,1.53113937943561,0.0573009234859948,-0.746842435319727,2.036006e-01,0.000000e+00,stable,stable,not_audited
110,-0.691070854543254,1.49262075353076,0.405988381621671,-1.18133998588375,2.036650e-01,0.000000e+00,stable,stable,not_audited
111,0.955040261232487,0.141943774216441,0.0522453641419557,-1.69260950287423,2.036656e-01,0.000000e+00,stable,stable,not_audited
112,-0.89338624986719,1.31210428920055,1.72018891892252,0.984521479198855,2.036667e-01,0.000000e+00,stable,stable,not_audited
113,0.908746884317825,-0.75205570362729,0.140735178759178,1.46521111323635,2.036671e-01,0.000000e+00,stable,stable,not_audited
114,-0.90631426686268,0.712841316401726,1.05856780852803,-0.706708139772619,2.036681e-01,0.000000e+00,stable,stable,not_audited
115,-0.476462946971577,-0.00508236066997481,0.0612023210834666,-0.782741403455392,2.036690e-01,0.000000e+00,stable,stable,not_audited
116,-0.0852057543781088,-0.807939173036644,0.163227679610006,0.528958834224143,2.035993e-01,0.000000e+00,stable,stable,not_audited
117,0.75404811881486,-0.358424978961593,0.707821281703619,-1.01944972950997,2.035986e-01,0.000000e+00,stable,stable,not_audited
118,-0.203825764509474,-0.481126771725613,0.0800762872491617,-0.834144667211129,2.036748e-01,0.000000e+00,stable,stable,not_audited
119,0.63736347536365,0.750555199476509,0.384312932893838,-1.74730618229184,2.036749e-01,0.000000e+00,stable,stable,not_audited
120,0.810211210063957,1.47561766336582,1.52950065394848,-1.98025947815078,2.036750e-01,0.000000e+00,stable,stable,not_audited
121,0.456307160568471,0.690707987505089,0.168777492167738,1.64989539340189,2.036755e-01,0.000000e+00,stable,stable,not_audited
122,0.205048680093782,0.481415891368239,1.82997457671462,1.46786778980984,2.036761e-01,0.000000e+00,stable,stable,not_audited
123,0.149084616299806,0.976218160697506,0.394646637205988,-1.57859894455453,2.036775e-01,0.000000e+00,stable,stable,not_audited
